식재료명(통합),제공 기준량,단위,평균 에너지(kcal)
소고기_한우(1+등급)_목심(목심살)_생것,100,g,227
포도_진옥_생것,100,g,52
큰느타리버섯(새송이버섯)_생것,100,g,20
문어류_주꾸미_육_생것문어류_주꾸미_육_생것,100,g,44
잉어_육_구운것,100,g,128
개암(헤이즐넛)_볶은것,100,g,646
게류_꽃게_다리_생것,100,g,112
전어_육_젓갈,100,g,130
히카마(얌빈)_생것,100,g,44
소고기_한우(1++등급)_앞다리(부채덮개살)_생것,100,g,185
소고기_한우_양지_생것,100,g,253
소고기_한우(1++등급)_설도(보섭살)_생것,100,g,218
고구마_생것,100,g,147
돼지 부산물_심장(염통)_삶은것,100,g,148
감자_로즈밸리_삶은것,100,g,79
상추_로메인_청상추_생것,100,g,18
게류_대게_육_삶은것,100,g,72
레몬_생것,100,g,36
소금_천일염_굵은소금,100,g,16
복류_졸복_육_생것,100,g,83
국화차_말린것,100,g,358
겨자_청겨자_생것,100,g,24
정향_ 가루,100,g,367
게류_왕게_육_삶은것,100,g,85
겨자_적겨자_생것,100,g,24
뽕나무버섯_야생_갓_말린것,100,g,195
포도당,100,g,342
모자반류_모자반_전체_생것_3월,100,g,22
비트_잎_데친것,100,g,15
소고기_한우(3등급)_우둔(우둔살)_생것,100,g,107
소고기_한우(1++등급)_사태_생것,100,g,174
멥쌀_새일미_현미_생것,100,g,357
닭고기_토종_생것,100,g,118
보리_순_분말화한것,100,g,314
어린양고기_수입산(미국산)_어깨_삶은것,100,g,344
멥쌀_백미_분말화한것,100,g,378
소멸_육_데쳐서 말린것,100,g,239
멥쌀_추청벼_백미_생것,100,g,360
다랑어류_황다랑어_육_구운것,100,g,142
오징어류_살오징어_전체_데친것,100,g,113
소고기_한우(1등급)_양지(치마살)_생것,100,g,216
메밀 국수_말린것을 삶은것,100,g,114
박대_육_반정도 말린것,100,g,115
씀바귀_데친것,100,g,31
모자반류_모자반_줄기_말린것,100,g,143
소고기_수입산(미국산)_설도_구운것(석쇠),100,g,164
고로쇠나무_수액,100,g,5
찹쌀_백옥찰_현미_생것,100,g,358
붕어_육_구운것,100,g,196
고추_풋고추_생것,100,g,29
소고기_한우(2등급)_양지(업진살)_생것,100,g,298
셀러리_생것,100,g,17
크릴류_크릴_육_생것,100,g,76
돼지고기_뒷다리_구운것(팬),100,g,212
순무_잎_데친것,100,g,20
쏘가리_육_얼린것,100,g,139
멥쌀_히토메보레_백미_생것,100,g,364
소고기_한우(1+등급)_채끝(채끝살)_생것,100,g,314
상추_유레이크_청상추_생것,100,g,16
버찌_생것,100,g,60
박_과육_생것,100,g,21
초어_육_생것_창원,100,g,89
쌈무_초절임_식초에 절인것,100,g,15
시금치_노지_데친것,100,g,37
게류_대게_육_생것_영덕,100,g,85
참나물_재배_데친것,100,g,22
명태_육_생것_강릉,100,g,80
고추_싹_생것,100,g,21
소고기_한우(1++등급)_앞다리(꾸리살)_생것,100,g,192
소고기_한우(1등급)_설도_생것,100,g,183
동태_육_얼린것,100,g,80
멥쌀밥_현미,100,g,166
상추_아시아아이스퀸(청코스)_청상추_생것,100,g,24
파프리카(착색단고추)_Raon orange(미니파프리카)_주황색_생것,100,g,38
나도팽나무버섯_생것,100,g,16
닭고기_토종_살코기,100,g,108
호박_단호박_생것,100,g,57
붕어_육_생것,100,g,94
선인장_저단선인장_줄기_생것,100,g,75
보리_늘보리_도정_생것,100,g,346
메추리알_생것,100,g,146
송아지 부산물_수입산(미국산)_신장_생것,100,g,99
찹쌀_백미_생것,100,g,363
고구마_분질(밤) 고구마_생것,100,g,154
고사리_생것,100,g,22
멥쌀_운광_백미_생것,100,g,365
우족국물_중량3배물,100,g,2
굴류_참굴_육_통조림,100,g,92
감자_수미_구운것,100,g,85
소고기_한우(1등급)_등심_생것,100,g,309
상지차_말린것,100,g,360
찹쌀_보람찰_백미_생것,100,g,365
양파_자색양파_데친것,100,g,27
부추_솔부추_데친것,100,g,24
멥쌀_농림나1호_현미_생것,100,g,371
크릴류_크릴_육_삶은것,100,g,87
게류_대게_육_통조림,100,g,77
유채_싹_생것,100,g,78
대황_전체_생것_3월,100,g,23
구절초차_말린것,100,g,345
볼락류_조피볼락(우럭)_육_생것,100,g,102
보리밥_큰알보리1호,100,g,138
숙주나물_생것,100,g,13
멥쌀_농림나1호_칠분도미_생것,100,g,370
국수_쫄면_말린것,100,g,348
밤_옥광_생것,100,g,147
땅콩_볶은것,100,g,567
감자_ 자색_ 생것,100,g,82
고구마_점질(호박) 고구마_구운것,100,g,186
군소류_군소_육_데친것,100,g,67
배_생것,100,g,45
정어리_육_삶은것,100,g,202
돼지고기_앞다리_생것,100,g,159
스테비아_말린것,100,g,303
명태_알_젓갈(명란젓),100,g,132
딸기_개량종_생것,100,g,33
임연수어_육_생것,100,g,157
소고기_한우(1++등급)_양지(양지머리)_생것,100,g,213
쏘가리_육_생것,100,g,109
고비_야생_삶아서 말린것,100,g,299
상추_적하계_적상추_생것,100,g,19
꾸지뽕_잎_생것,100,g,85
소고기_한우(1등급)_등심(꽃등심살)_생것,100,g,336
숙주나물_데친것,100,g,12
상추_아담_청상추_생것,100,g,9
가지_말린것,100,g,290
소고기_한우(1등급)_설도(보섭살)_생것,100,g,163
송아지 부산물_수입산(미국산)_간_생것,100,g,140
녹차_분말화한것,100,g,379
청경채_생것,100,g,10
부지갱이(섬쑥부쟁이)_데친것,100,g,33
김류_참김_전체_조미하여 말린것,100,g,172
밀_흑밀_도정_생것,100,g,328
붕어_육_삶은것,100,g,250
아마란스_노란색_말린것,100,g,383
오크라_생것,100,g,26
고추_녹광_초록색_생것,100,g,27
기장_찰기장_도정_생것,100,g,371
대구류_육_젓갈,100,g,69
잉어_육_찐것,100,g,110
소고기_한우(1++등급)_양지(업진살)_생것,100,g,413
피스타치오넛_볶은것,100,g,584
소고기_한우(1등급)_등심(윗등심살)_생것,100,g,309
문어류_낙지_육_생것,100,g,81
비비추(이밥추)_생것,100,g,48
은행_삶은것,100,g,186
쑥부쟁이_잎줄기_생것,100,g,26
송아지고기_수입산(미국산)_어깨_삶은것,100,g,236
다슬기류_곳체다슬기_육_생것,100,g,79
부추_솔부추_생것,100,g,21
소고기_한우(2등급)_설도(보섭살)_생것,100,g,168
소고기_한우_양지_삶은것,100,g,272
후추_ 검은색_ 가루,100,g,398
소고기_한우(1+등급)_설도(삼각살)_생것,100,g,211
포도_거봉_생것,100,g,60
치커리차_말린것,100,g,369
오징어류_갈고리흰오징어_다리_생것,100,g,65
송아지고기_수입산(미국산)_어깨_생것,100,g,132
메추리알_난황_삶은것,100,g,360
청어_알_말린것,100,g,397
새우류_긴뿔천길새우_육_생것,100,g,92
콩(대두)_대풍_볶은것,100,g,460
소고기_한우(1등급)_우둔(우둔살)_생것,100,g,166
마늘_한지형_구근_볶은것,100,g,165
리치_생것,100,g,61
